Fecha,Negativos,Confirmados,Defunciones
31/12/2019,0,0,0
01/01/2020,25,0,0
02/01/2020,72,0,0
03/01/2020,89,0,0
04/01/2020,45,0,0
05/01/2020,81,0,0
06/01/2020,166,0,0
07/01/2020,184,0,0
08/01/2020,169,0,0
09/01/2020,191,0,0
10/01/2020,147,0,0
11/01/2020,45,0,0
12/01/2020,129,0,0
13/01/2020,225,0,0
14/01/2020,239,0,0
15/01/2020,266,0,0
16/01/2020,230,0,0
17/01/2020,185,0,0
18/01/2020,69,0,0
19/01/2020,121,0,0
20/01/2020,292,0,0
21/01/2020,274,0,0
22/01/2020,289,0,0
23/01/2020,264,0,0
24/01/2020,209,0,0
25/01/2020,105,0,0
26/01/2020,158,0,0
27/01/2020,278,0,0
28/01/2020,246,0,0
29/01/2020,210,0,0
30/01/2020,231,0,0
31/01/2020,152,0,0
01/02/2020,66,0,0
02/02/2020,103,0,0
03/02/2020,140,0,0
04/02/2020,254,0,0
05/02/2020,233,0,0
06/02/2020,231,0,0
07/02/2020,171,0,0
08/02/2020,68,0,0
09/02/2020,130,0,0
10/02/2020,329,0,0
11/02/2020,246,0,0
12/02/2020,262,0,0
13/02/2020,192,0,0
14/02/2020,163,0,0
15/02/2020,76,0,0
16/02/2020,103,0,0
17/02/2020,247,0,0
18/02/2020,255,0,0
19/02/2020,185,0,0
20/02/2020,177,0,0
21/02/2020,131,0,0
22/02/2020,53,0,0
23/02/2020,111,0,0
24/02/2020,211,0,0
25/02/2020,266,0,0
26/02/2020,204,0,0
27/02/2020,191,4,0
28/02/2020,214,2,0
29/02/2020,82,2,0
01/03/2020,143,2,0
02/03/2020,274,5,0
03/03/2020,276,9,0
04/03/2020,228,10,0
05/03/2020,216,11,0
06/03/2020,166,6,0
07/03/2020,71,7,0
08/03/2020,105,8,0
09/03/2020,236,5,0
10/03/2020,238,17,0
11/03/2020,279,39,0
12/03/2020,342,41,0
13/03/2020,372,66,0
14/03/2020,170,52,0
15/03/2020,208,37,0
16/03/2020,289,77,0
17/03/2020,615,104,0
18/03/2020,670,116,3
19/03/2020,689,151,0
20/03/2020,626,132,1
21/03/2020,410,85,0
22/03/2020,345,70,2
23/03/2020,919,168,1
24/03/2020,1151,220,3
