Año,No grave,Signos de alarma,Grave,Signos de alarma y grave,Confirmados,Defunciones
2019,0,0,0,0,0,0
2019,20,11,5,16,36,0
2019,79,49,11,60,139,0
2019,154,99,18,117,271,0
2019,225,128,25,153,378,0
2019,318,166,35,201,519,0
2019,384,195,37,232,616,1
2019,436,231,44,275,711,2
2019,493,251,51,302,795,3
2019,549,296,55,351,900,3
2019,620,317,63,380,"1,000",3
2019,664,342,68,410,"1,074",3
2019,725,382,78,460,"1,185",3
2019,782,412,88,500,"1,282",3
2019,844,442,94,536,"1,380",3
2019,903,476,105,581,"1,484",3
2019,975,514,113,627,"1,602",3
2019,"1,017",549,128,677,"1,694",3
2019,"1,090",591,146,737,"1,827",3
2019,"1,198",651,168,819,"2,017",3
2019,"1,296",687,183,870,"2,166",3
2019,"1,418",760,210,970,"2,388",15
2019,"1,555",821,239,"1,060","2,615",15
2019,"1,274",895,263,"1,158","2,882",15
2019,"1,921",984,291,"1,275","3,196",15
2019,"2,241","1,047",311,"1,358","3,599",15
2019,"2,575","1,136",336,"1,472","4,047",20
2019,"2,897","1,264",384,"1,648","4,545",20
2019,"3,234","1,519",412,"1,931","5,165",20
2019,"3,594","1,686",469,"2,155","5,749",20
2019,"4,405","1,985",519,"2,504","6,909",20
2019,"5,225","2,205",593,"2,798","8,023",20
2019,"5,960","2,375",638,"3,013","8,973",28
2019,"6,958","2,554",699,"3,253","10,211",28
2019,"7,972","2,823",798,"3,621","11,593",28
2019,"9,873","3,172",918,"4,090","13,963",43
2019,"11,710","3,545","1,148","4,693","16,403",43
2019,"13,180","3,861","1,279","5,140","18,320",43
2019,"15,084","4,332","1,498","5,830","20,914",72
2019,"16,478","4,850","1,664","6,514","22,992",72
2019,"17,882","5,301","1,840","7,141","25,023",89
2019,"19,004","5,725","1,968","7,693","26,697",89
2019,"20,136","6,149","2,141","8,290","28,426",89
2019,"21,433","6,789","2,387","9,176","30,609",108
2019,"22,614","7,449","2,567","10,016","32,630",108
2019,"23,713","8,030","2,756","10,786","34,499",108
2019,"24,316","8,425","2,853","11,278","35,594",135
2019,"25,083","8,962","3,012","11,974","37,057",135
2019,"26,187","9,334","3,140","12,474","38,661",135
2019,"26,931","9,740","3,235","12,975","39,906",156
2019,"27,811","10,183","3,323","13,506","41,317",191
2019,"27,884","10,264","3,357","13,621","41,505",191
2020,0,0,0,0,0,0
2020,20,26,3,29,49,0
2020,91,108,18,126,217,0
2020,208,196,37,233,441,0
2020,307,304,62,366,673,0
2020,461,428,79,507,968,0
2020,582,531,112,643,"1,225",0
2020,702,617,136,753,"1,455",1
2020,793,713,151,864,"1,657",1
2020,908,804,183,987,"1,895",1
2020,981,848,200,"1,048","2,029",1
2020,"1,058",899,226,"1,125","2,183",1
2020,"1,121",939,244,"1,183","2,304",1
2020,"1,173",958,252,"1,210","2,383",1
2020,"1,240",990,269,"1,259","2,499",1
2020,"1,292","1,009",282,"1,291","2,583",1
2020,"1,362","1,029",289,"1,318","2,680",11
2020,"1,429","1,049",299,"1,348","2,777",11
2020,"1,544","1,077",304,"1,381","2,925",11
2020,"1,671","1,095",308,"1,403","3,074",11
2020,"1,809","1,117",322,"1,439","3,248",11
2020,"2,022","1,141",331,"1,472","3,494",11
2020,"2,175","1,149",349,"1,498","3,673",11
2020,"2,503","1,183",359,"1,542","4,045",11
